Date,Actual,Forecast
398,484,149.35692523042366
399,524,166.54206756132672
400,479,179.73068104508312
401,656,189.85218730174853
402,490,197.61986424746328
403,110,203.58111187236634
404,23,208.1560283491667
405,435,211.66701498932315
406,443,214.36149635305262
407,379,216.42935663382022
408,599,218.01632108580583
409,629,219.23422550386013
410,39,220.16889746179868
411,7,220.88620471186377
412,543,221.43669698525
413,499,221.8591683084249
414,459,222.18339087708557
415,753,222.43221314800076
416,525,222.62317000445637
417,45,222.76971846610843
418,18,222.882186025594
419,230,222.96849844262
420,117,223.03473828428588
421,239,223.08557357282382
422,351,223.12458674821406
423,409,223.15452712817068
424,36,223.17750465673583
425,112,223.19513859524056
426,66,223.20867163410966
427,211,223.21905746714313
428,63,223.22702799976648
429,92,223.2331449275175
430,93,223.23783931958377
431,51,223.241441996903
432,34,223.2442068456168
433,549,223.24632870881265
434,432,223.24795711741217
435,419,223.2492068278422
436,340,223.25016590909453
437,769,223.25090194908148
438,45,223.2514668176586
439,102,223.25190032197236
440,189,223.25223301173003
441,139,223.25248833208406
442,237,223.25268427584749
443,125,223.25283465147496
444,217,223.2529500561652
445,5,223.25303862266205
446,48,223.25310659238102
447,667,223.25315875525138
448,186,223.2531987872699
449,318,223.25322950955365
450,182,223.25325308714864
451,405,223.25327118160376
452,1,223.25328506806284
453,985,223.25329572512564
454,733,223.25330390381157
455,850,223.2533101804851
456,829,223.2533149974729
457,1512,223.25331869423542
458,1,223.25332153128917
459,4,223.25332370856557
460,2,223.25332537950067
461,1,223.25332666184772
462,4,223.25332764597573
463,3,223.25332840123767
464,1,223.253328980858
465,3,223.25332942568343
466,3,223.2533297670615
467,4,223.25333002904964
468,3,223.25333023011052
469,1,223.2533303844133
470,1,223.2533305028318
471,2,223.25333059371124
472,3,223.253330663456
473,2,223.25333071698114
474,2,223.2533307580586
475,1,223.2533307895832
476,1,223.25333081377656
477,4,223.25333083234355
478,1,223.25333084659266
479,4,223.25333085752803
480,4,223.2533308659203
481,4,223.2533308723609
482,10,223.25333087730368
483,7,223.25333088109699
484,1,223.25333088400814
485,5,223.25333088624228
486,9,223.25333088795685
487,9,223.2533308892727
488,4,223.2533308902825
489,3,223.2533308910575
490,2,223.25333089165224
491,5,223.2533308921087
492,11,223.253330892459
493,1,223.2533308927278
494,4,223.25333089293412
495,3,223.25333089309245
496,11,223.25333089321396
497,1,223.25333089330724
